"Table with row headers in columns A and B, and column headers in rows 5 through 6.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2020",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Race,Sex,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
,Hispanic (of any race),Unknown,166,119,63,38.1,9.5,53.2,11.6,55,33.1,9.3,46.3,11.6
,White alone or in combination,Unknown,1303,1252,873,67,3.2,69.8,3.1,822,63,3.2,65.6,3.2
,Black alone or in combination,Unknown,16,13,8,B,B,B,B,7,B,B,B,B
,Asian alone or in combination,Unknown,22,12,7,B,B,B,B,5,B,B,B,B
ILLINOIS,Total,Unknown,9658,8860,6590,68.2,2,74.4,1.9,6058,62.7,2,68.4,2
,Unknown,Male,4671,4281,3098,66.3,2.8,72.4,2.8,2876,61.6,2.9,67.2,3
,Unknown,Female,4987,4579,3492,70,2.7,76.3,2.6,3182,63.8,2.8,69.5,2.8
,White alone,Unknown,7551,7015,5303,70.2,2.2,75.6,2.1,4849,64.2,2.3,69.1,2.3
,White non-Hispanic alone,Unknown,6218,6075,4826,77.6,2.2,79.4,2.1,4429,71.2,2.4,72.9,2.4
,Black alone,Unknown,1335,1270,861,64.5,5.2,67.8,5.2,811,60.7,5.3,63.8,5.3
,Asian alone,Unknown,643,452,331,51.5,8,73.3,8.4,313,48.7,8,69.3,8.8
,Hispanic (of any race),Unknown,1421,1016,532,37.4,5.5,52.4,6.8,475,33.4,5.4,46.8,6.8
,White alone or in combination,Unknown,7600,7064,5331,70.1,2.2,75.5,2.1,4873,64.1,2.3,69,2.3
,Black alone or in combination,Unknown,1382,1317,895,64.8,5.1,67.9,5.1,839,60.7,5.2,63.7,5.2
,Asian alone or in combination,Unknown,652,461,340,52.2,7.9,73.8,8.3,322,49.4,7.9,69.9,8.7
INDIANA,Total,Unknown,5096,4921,3412,67,2.7,69.3,2.7,3002,58.9,2.8,61,2.8
,Unknown,Male,2463,2375,1632,66.2,3.9,68.7,3.9,1408,57.2,4.1,59.3,4.1
,Unknown,Female,2633,2546,1781,67.6,3.7,69.9,3.7,1594,60.5,3.9,62.6,3.9
,White alone,Unknown,4318,4219,2967,68.7,2.9,70.3,2.9,2601,60.2,3,61.7,3.1
,White non-Hispanic alone,Unknown,4122,4107,2904,70.5,2.9,70.7,2.9,2546,61.8,3.1,62,3.1
,Black alone,Unknown,473,467,306,64.7,8.6,65.5,8.6,281,59.5,8.8,60.2,8.8
,Asian alone,Unknown,178,114,76,42.5,14.9,66.1,17.8,68,38.5,14.7,59.9,18.4
,Hispanic (of any race),Unknown,225,135,72,32.1,13.3,53.5,18.3,60,26.4,12.6,44,18.2
,White alone or in combination,Unknown,4420,4315,3010,68.1,2.9,69.8,2.9,2632,59.5,3,61,3
,Black alone or in combination,Unknown,532,520,333,62.7,8.2,64.2,8.2,299,56.3,8.4,57.6,8.5
,Asian alone or in combination,Unknown,189,125,76,40,14.4,60.3,17.6,68,36.3,14.1,54.7,17.9
IOWA,Total,Unknown,2361,2293,1742,73.8,3.1,76,3,1618,68.5,3.2,70.5,3.2
,Unknown,Male,1167,1133,853,73.2,4.4,75.3,4.3,785,67.3,4.6,69.2,4.6
,Unknown,Female,1194,1160,888,74.4,4.3,76.6,4.2,833,69.7,4.5,71.8,4.5
,White alone,Unknown,2160,2125,1630,75.4,3.1,76.7,3.1,1521,70.4,3.3,71.5,3.3
,White non-Hispanic alone,Unknown,2068,2050,1603,77.5,3.1,78.2,3.1,1496,72.3,3.3,73,3.3
,Black alone,Unknown,95,87,55,58.6,16.4,63.5,16.6,40,42.6,16.4,46.2,17.2
,Asian alone,Unknown,77,52,36,B,B,B,B,36,B,B,B,B
,Hispanic (of any race),Unknown,108,90,42,39.1,16.6,46.8,18.6,40,37,16.5,44.2,18.5
,White alone or in combination,Unknown,2176,2141,1645,75.6,3.1,76.9,3.1,1536,70.6,3.3,71.8,3.3
,Black alone or in combination,Unknown,110,103,71,64.4,14.7,69,14.7,56,50.7,15.4,54.2,15.9
,Asian alone or in combination,Unknown,80,55,39,B,B,B,B,39,B,B,B,B
KANSAS,Total,Unknown,2157,1975,1398,64.8,3.5,70.8,3.5,1297,60.1,3.6,65.7,3.7
,Unknown,Male,1057,969,667,63.1,5.1,68.9,5.1,621,58.7,5.2,64,5.3
,Unknown,Female,1101,1006,731,66.4,4.9,72.7,4.8,676,61.4,5.1,67.2,5.1
,White alone,Unknown,1867,1749,1263,67.7,3.7,72.2,3.7,1181,63.3,3.8,67.5,3.9
,White non-Hispanic alone,Unknown,1566,1556,1171,74.8,3.8,75.3,3.8,1099,70.2,4,70.7,4
,Black alone,Unknown,106,97,69,65.4,15.2,71.4,15.1,59,55.8,15.9,61,16.3
,Asian alone,Unknown,86,54,13,B,B,B,B,11,B,B,B,B
,Hispanic (of any race),Unknown,317,210,108,34.1,9.6,51.5,12.4,96,30.1,9.3,45.5,12.4
,White alone or in combination,Unknown,1916,1798,1298,67.7,3.7,72.2,3.6,1216,63.5,3.8,67.6,3.8
,Black alone or in combination,Unknown,121,112,82,67.9,14,73.3,13.7,72,59.6,14.7,64.3,14.9
,Asian alone or in combination,Unknown,87,55,14,B,B,B,B,12,B,B,B,B
KENTUCKY,Total,Unknown,3384,3227,2450,72.4,3.2,75.9,3.1,2210,65.3,3.4,68.5,3.4
,Unknown,Male,1616,1524,1159,71.7,4.6,76,4.5,1057,65.4,4.9,69.4,4.9
,Unknown,Female,1768,1703,1291,73,4.4,75.8,4.3,1153,65.2,4.7,67.7,4.7
