"Table with row headers in columns A and B, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2016",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
STATE,Race,Sex,Total Population,Total Citizen Population,Registered,,,,,Voted,,,,
,,,,,Total registered,"Percent registered
(Total)",Margin of Error 1,"Percent registered
(Citizen)",Margin of Error 1,Total voted,"Percent voted
(Total)",Margin of Error 1,"Percent voted
(Citizen)",Margin of Error 1
,White alone or in combination,Unknown,368,361,229,62.2,4.5,63.2,4.5,197,53.6,4.6,54.6,4.6
,Black alone or in combination,Unknown,31,30,19,B,B,B,B,17,B,B,B,B
,Asian alone or in combination,Unknown,624,548,281,45,4.4,51.2,4.8,246,39.4,4.4,44.8,4.7
IDAHO,Total,Unknown,1224,1150,790,64.5,2.7,68.7,2.7,714,58.3,2.7,62.1,2.8
,Unknown,Male,607,571,386,63.5,3.8,67.5,3.8,346,57,3.9,60.6,4
,Unknown,Female,618,579,404,65.4,3.7,69.8,3.7,368,59.5,3.8,63.5,3.9
,White alone,Unknown,1151,1095,757,65.8,2.7,69.1,2.7,687,59.7,2.8,62.8,2.8
,White non-Hispanic alone,Unknown,1002,994,711,70.9,2.8,71.5,2.8,647,64.6,2.9,65.1,2.9
,Black alone,Unknown,6,5,3,B,B,B,B,2,B,B,B,B
,Asian alone,Unknown,27,12,7,B,B,B,B,6,B,B,B,B
,Hispanic (of any race),Unknown,163,114,55,33.5,11.3,48,14.3,49,29.9,11,42.9,14.2
,White alone or in combination,Unknown,1175,1118,770,65.5,2.7,68.9,2.7,698,59.3,2.8,62.4,2.8
,Black alone or in combination,Unknown,8,7,3,B,B,B,B,2,B,B,B,B
,Asian alone or in combination,Unknown,31,14,9,B,B,B,B,8,B,B,B,B
ILLINOIS,Total,Unknown,9723,8970,6665,68.5,1.6,74.3,1.5,5719,58.8,1.7,63.8,1.7
,Unknown,Male,4692,4307,3174,67.7,2.3,73.7,2.2,2673,57,2.4,62.1,2.4
,Unknown,Female,5031,4663,3490,69.4,2.2,74.9,2.1,3046,60.6,2.3,65.3,2.3
,White alone,Unknown,7647,7100,5391,70.5,1.7,75.9,1.7,4636,60.6,1.9,65.3,1.9
,White non-Hispanic alone,Unknown,6297,6153,4839,76.8,1.8,78.6,1.7,4174,66.3,2,67.8,2
,Black alone,Unknown,1358,1321,932,68.6,5,70.6,5,776,57.1,5.4,58.7,5.4
,Asian alone,Unknown,542,391,231,42.5,8.9,58.9,10.4,200,37,8.7,51.3,10.6
,Hispanic (of any race),Unknown,1490,1073,634,42.5,6.7,59.1,7.8,527,35.4,6.5,49.2,7.9
,White alone or in combination,Unknown,7711,7165,5438,70.5,1.7,75.9,1.7,4679,60.7,1.8,65.3,1.9
,Black alone or in combination,Unknown,1390,1353,963,69.3,5,71.2,4.9,807,58.1,5.3,59.7,5.3
,Asian alone or in combination,Unknown,563,408,244,43.3,8.7,59.7,10.2,214,37.9,8.6,52.4,10.4
INDIANA,Total,Unknown,4988,4795,3298,66.1,2.2,68.8,2.2,2795,56,2.3,58.3,2.3
,Unknown,Male,2426,2306,1595,65.7,3.2,69.2,3.2,1343,55.4,3.3,58.3,3.4
,Unknown,Female,2562,2490,1704,66.5,3.1,68.4,3.1,1452,56.6,3.2,58.3,3.2
,White alone,Unknown,4309,4191,2895,67.2,2.3,69.1,2.3,2467,57.2,2.5,58.9,2.5
,White non-Hispanic alone,Unknown,4102,4059,2832,69,2.4,69.8,2.4,2409,58.7,2.5,59.4,2.5
,Black alone,Unknown,473,442,284,59.9,9,64.2,9.1,228,48.2,9.1,51.6,9.4
,Asian alone,Unknown,109,77,55,B,B,B,B,48,B,B,B,B
,Hispanic (of any race),Unknown,224,138,69,30.9,15.9,50.1,22,63,28.3,15.5,46,21.9
,White alone or in combination,Unknown,4378,4260,2949,67.4,2.3,69.2,2.3,2513,57.4,2.5,59,2.5
,Black alone or in combination,Unknown,491,460,298,60.8,8.8,64.9,8.8,238,48.5,9,51.8,9.3
,Asian alone or in combination,Unknown,130,97,72,B,B,B,B,65,B,B,B,B
IOWA,Total,Unknown,2394,2292,1657,69.2,2.6,72.3,2.5,1454,60.7,2.7,63.4,2.7
,Unknown,Male,1172,1111,780,66.5,3.7,70.2,3.7,673,57.4,3.9,60.6,4
,Unknown,Female,1221,1181,877,71.8,3.5,74.2,3.5,781,63.9,3.7,66.1,3.7
,White alone,Unknown,2201,2159,1587,72.1,2.6,73.5,2.6,1393,63.3,2.8,64.5,2.8
,White non-Hispanic alone,Unknown,2126,2114,1558,73.3,2.6,73.7,2.6,1370,64.4,2.8,64.8,2.8
,Black alone,Unknown,73,65,39,B,B,B,B,34,B,B,B,B
,Asian alone,Unknown,66,30,15,B,B,B,B,13,B,B,B,B
,Hispanic (of any race),Unknown,97,51,29,B,B,B,B,23,B,B,B,B
,White alone or in combination,Unknown,2226,2184,1599,71.8,2.6,73.2,2.6,1403,63,2.8,64.2,2.8
,Black alone or in combination,Unknown,84,76,39,B,B,B,B,34,B,B,B,B
,Asian alone or in combination,Unknown,68,32,17,B,B,B,B,13,B,B,B,B
KANSAS,Total,Unknown,2142,2029,1438,67.1,2.8,70.9,2.8,1243,58,3,61.3,3
,Unknown,Male,1048,992,671,64,4.1,67.6,4.1,570,54.4,4.3,57.5,4.3
,Unknown,Female,1094,1036,767,70.1,3.8,74,3.8,673,61.5,4.1,64.9,4.1
,White alone,Unknown,1883,1798,1307,69.4,2.9,72.7,2.9,1149,61,3.1,63.9,3.1
,White non-Hispanic alone,Unknown,1678,1672,1244,74.1,3,74.4,3,1091,65,3.2,65.3,3.2
,Black alone,Unknown,121,121,75,61.8,14.8,61.8,14.8,54,44.5,15.1,44.5,15.1
,Asian alone,Unknown,59,31,15,B,B,B,B,7,B,B,B,B
,Hispanic (of any race),Unknown,217,138,76,34.9,14.1,54.7,18.4,68,31.2,13.7,48.9,18.5
,White alone or in combination,Unknown,1923,1838,1335,69.4,2.9,72.6,2.9,1170,60.8,3.1,63.6,3.1
,Black alone or in combination,Unknown,136,136,82,60.4,14,60.4,14,56,41.2,14.1,41.2,14.1
,Asian alone or in combination,Unknown,64,36,19,B,B,B,B,11,B,B,B,B
KENTUCKY,Total,Unknown,3348,3246,2253,67.3,2.7,69.4,2.7,1850,55.3,2.8,57,2.9
,Unknown,Male,1614,1550,1035,64.1,4,66.8,4,861,53.3,4.1,55.5,4.2
,Unknown,Female,1734,1697,1218,70.3,3.6,71.8,3.6,989,57,3.9,58.3,4
